step,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,altitude,vertical_vel,g_raw_x,g_raw_y,g_raw_z,g_raw_mag,g_eff_x,g_eff_y,g_eff_z,g_eff_mag,c,k,phi,phase_error,lock_quality,omega_drive,omega_0,drive_power,energy,grav_power
590,5.9,0,0,6371943.246145137,0,0,-21.78304759848496,943.2461451366544,-21.78304759848496,0,0,-9.817065646102574,9.817065646102574,0,0,-4.939517430660677,4.939517430660677,0.5031561984737967,0.2977348409932603,1.766683787030104,-1.374908866559689,0.4696287027558097,78,81.47749999999866,6500,1682271.878624836,129117.2919667532
600,6,0,0,6371941.040538698,0,0,-22.28037956253705,941.0405386975035,-22.28037956253705,0,0,-9.817072427007366,9.817072427007366,0,0,-5.00174340475685,5.00174340475685,0.5094943978407196,0.2914957530764417,1.763787262244277,-1.377805391345516,0.4645346437500859,78,81.50249999999863,6500,1681621.878624836,133728.8898388788
610,6.100000000000001,0,0,6371938.784847013,0,0,-22.78416932924251,938.784847012721,-22.78416932924251,0,0,-9.817079362050247,9.817079362050247,0,0,-5.067882802115569,5.067882802115569,0.5162312145205239,0.2863056604425332,1.756658063920732,-1.384934589669061,0.4594599432538103,78,81.52749999999861,6500,1680971.878624836,138560.9998849885
620,6.2,0,0,6371936.47840812,0,0,-23.29467481968588,936.4784081196412,-23.29467481968588,0,0,-9.817086453263494,9.817086453263494,0,0,-5.135515955312233,5.135515955312233,0.5231201721367171,0.2824185371172487,1.746832458486092,-1.394760195103701,0.4544051783495598,78,81.55249999999859,6500,1680321.878624836,143556.2090523683
630,6.3,0,0,6371934.120547304,0,0,-23.81191970818731,934.1205473039299,-23.81191970818731,0,0,-9.817093702725918,9.817093702725918,0,0,-5.202404322714497,5.202404322714497,0.5299332450366592,0.2798984820278649,1.736090290709049,-1.405502362880744,0.4493709151469997,78,81.57749999999857,6500,1679671.878624836,148655.080826405
640,6.4,0,0,6371931.71059898,0,0,-24.33572515889279,931.7105989800766,-24.33572515889279,0,0,-9.817101112494468,9.817101112494468,0,0,-5.266727308291083,5.266727308291083,0.5364849814562863,0.2786279705851746,1.726151408633156,-1.415441244956638,0.4443577087276759,78,81.60249999999854,6500,1679021.878624836,153803.5539136884
650,6.5,0,0,6371929.247924252,0,0,-24.86576092549404,929.2479242524132,-24.86576092549404,0,0,-9.817108684548531,9.817108684548531,0,0,-5.327238353904225,5.327238353904225,0.5426484034233969,0.278345289705957,1.718397569162839,-1.423195084426954,0.4393661030946991,78,81.62749999999852,6500,1678371.878624836,158959.0023615658
660,6.600000000000001,0,0,6371926.731922708,0,0,-25.40160716293111,926.7319227075204,-25.40160716293111,0,0,-9.817116420751697,9.817116420751697,0,0,-5.383331572410816,5.383331572410816,0.5483617940020939,0.2787011499688443,1.713695856474517,-1.427896797115276,0.4343966311272929,78,81.6524999999985,6500,1677721.878624836,164094.3285962205
670,6.7,0,0,6371924.162037854,0,0,-25.94281807079951,924.1620378540829,-25.94281807079951,0,0,-9.817124322833044,9.817124322833044,0,0,-5.435021779412022,5.435021779412022,0.5536266630311526,0.2793204261025762,1.712351913313649,-1.429240740276144,0.4294498145401699,78,81.67749999999847,6500,1677071.878624836,169199.7374809429
680,6.8,0,0,6371921.537756481,0,0,-26.48897934848647,921.5377564812079,-26.48897934848647,0,0,-9.817132392387329,9.817132392387329,0,0,-5.482850916779736,5.482850916779736,0.5584982149198068,0.2798566678742562,1.714171681637469,-1.427420971952325,0.4245261638477035,78,81.70249999999845,6500,1676421.878624836,174282.1496464903
690,6.9,0,0,6371918.858602906,0,0,-27.03975318272497,918.858602905646,-27.03975318272497,0,0,-9.817140630891345,9.817140630891345,0,0,-5.527741436009713,5.527741436009713,0.5630704136615616,0.2800320952486419,1.718585756545193,-1.4230068970446,0.4196261783328543,78,81.72749999999843,6500,1675771.878624836,179362.5169051492
700,7,0,0,6371916.124129613,0,0,-27.59490681037785,916.1241296129301,-27.59490681037785,0,0,-9.817149039731857,9.817149039731857,0,0,-5.57082151006854,5.57082151006854,0.5674581782880521,0.2796609632738445,1.724792975912585,-1.416799677677208,0.4147503460208148,78,81.75249999999841,6500,1675121.878624836,184471.5605131077
710,7.100000000000001,0,0,6371913.333906011,0,0,-28.15432325745581,913.3339060107246,-28.15432325745581,0,0,-9.817157620239955,9.817157620239955,0,0,-5.613247712937413,5.613247712937413,0.5717793204587676,0.2786575624654412,1.731895831395182,-1.409696822194611,0.4098991436573292,78,81.77749999999838,6500,1674471.878624836,189644.6287610573
720,7.2,0,0,6371910.487507055,0,0,-28.71799530434873,910.4875070545822,-28.71799530434873,0,0,-9.817166373726257,9.817166373726257,0,0,-5.656048253895232,5.656048253895232,0.5761385758962534,0.2770315504189533,1.739016139292826,-1.402576514296968,0.4050730366916436,78,81.80249999999836,6500,1673821.878624836,194916.4406358397
730,7.3,0,0,6371907.584503268,0,0,-29.28600576561555,907.5845032678917,-29.28600576561555,0,0,-9.817175301512298,9.817175301512298,0,0,-5.700004594729405,5.700004594729405,0.5806155456805728,0.2748735197169931,1.745388825805395,-1.396203827784398,0.400272479264042,78,81.82749999999834,6500,1673171.878624836,200316.4409103366
