step,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,altitude,vertical_vel,g_raw_x,g_raw_y,g_raw_z,g_raw_mag,g_eff_x,g_eff_y,g_eff_z,g_eff_mag,c,k,phi,phase_error,lock_quality,omega_drive,omega_0,drive_power,energy,grav_power
315,6.3,0,0,6371803.32244659,0,0,-62.04402657162449,803.3224465902895,-62.04402657162449,0,0,-9.817493660375037,9.817493660375037,0,0,-9.817493660375037,9.817493660375037,1,0,0,0,0,80,80,0,0,730940.2050372765
320,6.4,0,0,6371797.059138918,0,0,-63.02577708965159,797.0591389182955,-63.02577708965159,0,0,-9.817512900546722,9.817512900546722,0,0,-9.817512900546722,9.817512900546722,1,0,0,0,0,80,80,0,0,742507.6555735639
325,6.5,0,0,6371790.697656078,0,0,-64.00752954985118,790.6976560782641,-64.00752954985118,0,0,-9.817532443307595,9.817532443307595,0,0,-9.817532443307595,9.817532443307595,1,0,0,0,0,80,80,0,0,754075.1975659603
330,6.600000000000001,0,0,6371784.237997874,0,0,-64.98928398248239,784.2379978736863,-64.98928398248238,0,0,-9.817552288660975,9.817552288660975,0,0,-9.817552288660975,9.817552288660975,1,0,0,0,0,80,80,0,0,765642.8324407897
335,6.7,0,0,6371777.680164105,0,0,-65.97104041780466,777.6801641052589,-65.97104041780464,0,0,-9.817572436610224,9.817572436610224,0,0,-9.817572436610224,9.817572436610224,1,0,0,0,0,80,80,0,0,777210.5616244057
340,6.8,0,0,6371771.024154572,0,0,-66.95279888607779,771.0241545718163,-66.95279888607779,0,0,-9.817592887158751,9.817592887158751,0,0,-9.817592887158751,9.817592887158751,1,0,0,0,0,80,80,0,0,788778.3865431932
345,6.9,0,0,6371764.269969068,0,0,-67.9345594175619,764.2699690675363,-67.9345594175619,0,0,-9.817613640310032,9.817613640310032,0,0,-9.817613640310032,9.817613640310032,1,0,0,0,0,80,80,0,0,800346.3086235697
350,7,0,0,6371757.417607385,0,0,-68.91632204251749,757.4176073847339,-68.91632204251749,0,0,-9.817634696067575,9.817634696067575,0,0,-9.817634696067575,9.817634696067575,1,0,0,0,0,80,80,0,0,811914.3292919836
355,7.100000000000001,0,0,6371750.467069313,0,0,-69.89808679120542,750.4670693129301,-69.89808679120542,0,0,-9.817656054434952,9.817656054434952,0,0,-9.817656054434952,9.817656054434952,1,0,0,0,0,80,80,0,0,823482.4499749171
360,7.2,0,0,6371743.418354637,0,0,-70.87985369388684,743.4183546369895,-70.87985369388684,0,0,-9.817677715415787,9.817677715415787,0,0,-9.817677715415787,9.817677715415787,1,0,0,0,0,80,80,0,0,835050.6720988851
365,7.3,0,0,6371736.271463141,0,0,-71.86162278082335,736.2714631408453,-71.86162278082335,0,0,-9.817699679013744,9.817699679013744,0,0,-9.817699679013744,9.817699679013744,1,0,0,0,0,80,80,0,0,846618.9970904355
370,7.4,0,0,6371729.026394602,0,0,-72.84339408227686,729.0263946019113,-72.84339408227686,0,0,-9.817721945232554,9.817721945232554,0,0,-9.817721945232554,9.817721945232554,1,0,0,0,0,80,80,0,0,858187.4263761512
375,7.5,0,0,6371721.683148799,0,0,-73.8251676285097,721.6831487985328,-73.8251676285097,0,0,-9.81774451407599,9.81774451407599,0,0,-9.81774451407599,9.81774451407599,1,0,0,0,0,80,80,0,0,869755.9613826498
380,7.600000000000001,0,0,6371714.241725505,0,0,-74.80694344978457,714.2417255053297,-74.80694344978457,0,0,-9.817767385547871,9.817767385547871,0,0,-9.817767385547871,9.817767385547871,1,0,0,0,0,80,80,0,0,881324.6035365827
385,7.7,0,0,6371706.702124491,0,0,-75.78872157636455,706.702124491334,-75.78872157636455,0,0,-9.81779055965208,9.81779055965208,0,0,-9.81779055965208,9.81779055965208,1,0,0,0,0,80,80,0,0,892893.3542646382
390,7.8,0,0,6371699.064345524,0,0,-76.7705020385131,699.064345523715,-76.77050203851309,0,0,-9.817814036392546,9.817814036392546,0,0,-9.817814036392546,9.817814036392546,1,0,0,0,0,80,80,0,0,904462.2149935397
395,7.9,0,0,6371691.32838837,0,0,-77.75228486649407,691.3283883696422,-77.75228486649407,0,0,-9.817837815773247,9.817837815773247,0,0,-9.817837815773247,9.817837815773247,1,0,0,0,0,80,80,0,0,916031.1871500472
400,8,0,0,6371683.494252788,0,0,-78.73407009057172,683.494252787903,-78.73407009057172,0,0,-9.81786189779821,9.81786189779821,0,0,-9.81786189779821,9.81786189779821,1,0,0,0,0,80,80,0,0,927600.2721609572
405,8.1,0,0,6371675.561938539,0,0,-79.71585774101075,675.5619385391474,-79.71585774101075,0,0,-9.817886282471521,9.817886282471521,0,0,-9.817886282471521,9.817886282471521,1,0,0,0,0,80,80,0,0,939169.4714531048
410,8.199999999999999,0,0,6371667.531445378,0,0,-80.69764784807622,667.5314453784376,-80.69764784807622,0,0,-9.817910969797312,9.817910969797312,0,0,-9.817910969797312,9.817910969797312,1,0,0,0,0,80,80,0,0,950738.7864533615
415,8.300000000000001,0,0,6371659.402773057,0,0,-81.67944044203362,659.4027730571106,-81.67944044203362,0,0,-9.817935959779774,9.817935959779774,0,0,-9.817935959779774,9.817935959779774,1,0,0,0,0,80,80,0,0,962308.2185886387
420,8.4,0,0,6371651.175921327,0,0,-82.66123555314891,651.1759213265032,-82.66123555314891,0,0,-9.817961252423132,9.817961252423132,0,0,-9.817961252423132,9.817961252423132,1,0,0,0,0,80,80,0,0,973877.7692858849
425,8.5,0,0,6371642.850889931,0,0,-83.64303321168839,642.8508899314329,-83.64303321168839,0,0,-9.817986847731683,9.817986847731683,0,0,-9.817986847731683,9.817986847731683,1,0,0,0,0,80,80,0,0,985447.4399720893
430,8.6,0,0,6371634.427678618,0,0,-84.62483344791887,634.4276786176488,-84.62483344791887,0,0,-9.818012745709757,9.818012745709757,0,0,-9.818012745709757,9.818012745709757,1,0,0,0,0,80,80,0,0,997017.2320742793
435,8.700000000000001,0,0,6371625.906287123,0,0,-85.60663629210755,625.9062871234491,-85.60663629210755,0,0,-9.818038946361751,9.818038946361751,0,0,-9.818038946361751,9.818038946361751,1,0,0,0,0,80,80,0,0,1008587.147019525
440,8.800000000000001,0,0,6371617.286715187,0,0,-86.58844177452211,617.2867151871324,-86.58844177452211,0,0,-9.818065449692103,9.818065449692103,0,0,-9.818065449692103,9.818065449692103,1,0,0,0,0,80,80,0,0,1020157.186234934
445,8.9,0,0,6371608.568962542,0,0,-87.57024992543064,608.5689625423402,-87.57024992543064,0,0,-9.818092255705306,9.818092255705306,0,0,-9.818092255705306,9.818092255705306,1,0,0,0,0,80,80,0,0,1031727.351147659
450,9,0,0,6371599.753028921,0,0,-88.55206077510169,599.7530289208516,-88.55206077510169,0,0,-9.818119364405913,9.818119364405913,0,0,-9.818119364405913,9.818119364405913,1,0,0,0,0,80,80,0,0,1043297.64318489
455,9.1,0,0,6371590.838914051,0,0,-89.53387435380429,590.8389140507206,-89.53387435380429,0,0,-9.81814677579851,9.81814677579851,0,0,-9.81814677579851,9.81814677579851,1,0,0,0,0,80,80,0,0,1054868.063773863
460,9.200000000000001,0,0,6371581.826617658,0,0,-90.5156906918079,581.8266176581383,-90.5156906918079,0,0,-9.818174489887747,9.818174489887747,0,0,-9.818174489887747,9.818174489887747,1,0,0,0,0,80,80,0,0,1066438.614341854
465,9.300000000000001,0,0,6371572.716139464,0,0,-91.49750981938249,572.7161394637078,-91.49750981938249,0,0,-9.818202506678317,9.818202506678317,0,0,-9.818202506678317,9.818202506678317,1,0,0,0,0,80,80,0,0,1078009.296316182
